text,label
foreigners are the worst. Keep them out of here.,Hate Speech
people like you are the worst. Keep them out of here.,Hate Speech
I can't stand people from men. They're ruining everything.,Hate Speech
I can't stand people from people like you. They're ruining everything.,Hate Speech
immigrants are the worst. Keep them out of here.,Hate Speech
This is why nobody likes men.,Hate Speech
This is why nobody likes foreigners.,Hate Speech
immigrants are the worst. Keep them out of here.,Hate Speech
I can't stand people from women. They're ruining everything.,Hate Speech
This is why nobody likes foreigners.,Hate Speech
immigrants are the worst. Keep them out of here.,Hate Speech
I can't stand people from men. They're ruining everything.,Hate Speech
I can't stand people from people like you. They're ruining everything.,Hate Speech
people like you are the worst. Keep them out of here.,Hate Speech
I can't stand people from women. They're ruining everything.,Hate Speech
This is why nobody likes foreigners.,Hate Speech
I can't stand people from foreigners. They're ruining everything.,Hate Speech
men are the worst. Keep them out of here.,Hate Speech
I can't stand people from foreigners. They're ruining everything.,Hate Speech
men are the worst. Keep them out of here.,Hate Speech
This is why nobody likes women.,Hate Speech
foreigners are the worst. Keep them out of here.,Hate Speech
I can't stand people from women. They're ruining everything.,Hate Speech
I can't stand people from men. They're ruining everything.,Hate Speech
This is why nobody likes immigrants.,Hate Speech
I can't stand people from foreigners. They're ruining everything.,Hate Speech
I can't stand people from people like you. They're ruining everything.,Hate Speech
I can't stand people from foreigners. They're ruining everything.,Hate Speech
foreigners are the worst. Keep them out of here.,Hate Speech
This is why nobody likes foreigners.,Hate Speech
I can't stand people from men. They're ruining everything.,Hate Speech
women are the worst. Keep them out of here.,Hate Speech
This is why nobody likes men.,Hate Speech
This is why nobody likes women.,Hate Speech
immigrants are the worst. Keep them out of here.,Hate Speech
people like you are the worst. Keep them out of here.,Hate Speech
I can't stand people from women. They're ruining everything.,Hate Speech
I can't stand people from men. They're ruining everything.,Hate Speech
people like you are the worst. Keep them out of here.,Hate Speech
immigrants are the worst. Keep them out of here.,Hate Speech
I can't stand people from people like you. They're ruining everything.,Hate Speech
This is why nobody likes men.,Hate Speech
I can't stand people from women. They're ruining everything.,Hate Speech
I can't stand people from men. They're ruining everything.,Hate Speech
I can't stand people from women. They're ruining everything.,Hate Speech
This is why nobody likes women.,Hate Speech
immigrants are the worst. Keep them out of here.,Hate Speech
immigrants are the worst. Keep them out of here.,Hate Speech
immigrants are the worst. Keep them out of here.,Hate Speech
people like you are the worst. Keep them out of here.,Hate Speech
immigrants are the worst. Keep them out of here.,Hate Speech
This is why nobody likes people like you.,Hate Speech
I can't stand people from women. They're ruining everything.,Hate Speech
I can't stand people from foreigners. They're ruining everything.,Hate Speech
women are the worst. Keep them out of here.,Hate Speech
men are the worst. Keep them out of here.,Hate Speech
women are the worst. Keep them out of here.,Hate Speech
This is why nobody likes immigrants.,Hate Speech
I can't stand people from men. They're ruining everything.,Hate Speech
This is why nobody likes men.,Hate Speech
This is why nobody likes women.,Hate Speech
I can't stand people from women. They're ruining everything.,Hate Speech
women are the worst. Keep them out of here.,Hate Speech
men are the worst. Keep them out of here.,Hate Speech
women are the worst. Keep them out of here.,Hate Speech
women are the worst. Keep them out of here.,Hate Speech
This is why nobody likes women.,Hate Speech
women are the worst. Keep them out of here.,Hate Speech
This is why nobody likes men.,Hate Speech
I can't stand people from immigrants. They're ruining everything.,Hate Speech
I can't stand people from men. They're ruining everything.,Hate Speech
immigrants are the worst. Keep them out of here.,Hate Speech
I can't stand people from women. They're ruining everything.,Hate Speech
This is why nobody likes women.,Hate Speech
This is why nobody likes women.,Hate Speech
I can't stand people from people like you. They're ruining everything.,Hate Speech
This is why nobody likes women.,Hate Speech
This is why nobody likes women.,Hate Speech
This is why nobody likes people like you.,Hate Speech
immigrants are the worst. Keep them out of here.,Hate Speech
This is why nobody likes foreigners.,Hate Speech
I can't stand people from women. They're ruining everything.,Hate Speech
I can't stand people from women. They're ruining everything.,Hate Speech
I can't stand people from foreigners. They're ruining everything.,Hate Speech
This is why nobody likes women.,Hate Speech
I can't stand people from foreigners. They're ruining everything.,Hate Speech
This is why nobody likes foreigners.,Hate Speech
This is why nobody likes people like you.,Hate Speech
I can't stand people from women. They're ruining everything.,Hate Speech
immigrants are the worst. Keep them out of here.,Hate Speech
women are the worst. Keep them out of here.,Hate Speech
I can't stand people from foreigners. They're ruining everything.,Hate Speech
people like you are the worst. Keep them out of here.,Hate Speech
immigrants are the worst. Keep them out of here.,Hate Speech
This is why nobody likes foreigners.,Hate Speech
This is why nobody likes people like you.,Hate Speech
I can't stand people from people like you. They're ruining everything.,Hate Speech
I can't stand people from foreigners. They're ruining everything.,Hate Speech
men are the worst. Keep them out of here.,Hate Speech
This is why nobody likes women.,Hate Speech
This is why nobody likes foreigners.,Hate Speech
I can't stand people from women. They're ruining everything.,Hate Speech
This is why nobody likes women.,Hate Speech
I can't stand people from people like you. They're ruining everything.,Hate Speech
This is why nobody likes people like you.,Hate Speech
This is why nobody likes people like you.,Hate Speech
I can't stand people from people like you. They're ruining everything.,Hate Speech
This is why nobody likes foreigners.,Hate Speech
This is why nobody likes people like you.,Hate Speech
I can't stand people from men. They're ruining everything.,Hate Speech
men are the worst. Keep them out of here.,Hate Speech
foreigners are the worst. Keep them out of here.,Hate Speech
I can't stand people from men. They're ruining everything.,Hate Speech
women are the worst. Keep them out of here.,Hate Speech
people like you are the worst. Keep them out of here.,Hate Speech
This is why nobody likes foreigners.,Hate Speech
men are the worst. Keep them out of here.,Hate Speech
immigrants are the worst. Keep them out of here.,Hate Speech
I can't stand people from foreigners. They're ruining everything.,Hate Speech
I can't stand people from immigrants. They're ruining everything.,Hate Speech
I can't stand people from women. They're ruining everything.,Hate Speech
This is why nobody likes foreigners.,Hate Speech
men are the worst. Keep them out of here.,Hate Speech
I can't stand people from men. They're ruining everything.,Hate Speech
This is why nobody likes immigrants.,Hate Speech
This is why nobody likes foreigners.,Hate Speech
I can't stand people from immigrants. They're ruining everything.,Hate Speech
This is why nobody likes foreigners.,Hate Speech
immigrants are the worst. Keep them out of here.,Hate Speech
men are the worst. Keep them out of here.,Hate Speech
I can't stand people from women. They're ruining everything.,Hate Speech
immigrants are the worst. Keep them out of here.,Hate Speech
This is why nobody likes foreigners.,Hate Speech
I can't stand people from people like you. They're ruining everything.,Hate Speech
This is why nobody likes women.,Hate Speech
foreigners are the worst. Keep them out of here.,Hate Speech
I can't stand people from women. They're ruining everything.,Hate Speech
This is why nobody likes foreigners.,Hate Speech
I can't stand people from men. They're ruining everything.,Hate Speech
I can't stand people from people like you. They're ruining everything.,Hate Speech
I can't stand people from immigrants. They're ruining everything.,Hate Speech
women are the worst. Keep them out of here.,Hate Speech
I can't stand people from men. They're ruining everything.,Hate Speech
I can't stand people from women. They're ruining everything.,Hate Speech
foreigners are the worst. Keep them out of here.,Hate Speech
This is why nobody likes men.,Hate Speech
This is why nobody likes men.,Hate Speech
This is why nobody likes women.,Hate Speech
This is why nobody likes people like you.,Hate Speech
men are the worst. Keep them out of here.,Hate Speech
immigrants are the worst. Keep them out of here.,Hate Speech
This is why nobody likes immigrants.,Hate Speech
I can't stand people from men. They're ruining everything.,Hate Speech
I can't stand people from women. They're ruining everything.,Hate Speech
This is why nobody likes men.,Hate Speech
This is why nobody likes men.,Hate Speech
I can't stand people from foreigners. They're ruining everything.,Hate Speech
men are the worst. Keep them out of here.,Hate Speech
men are the worst. Keep them out of here.,Hate Speech
I can't stand people from men. They're ruining everything.,Hate Speech
immigrants are the worst. Keep them out of here.,Hate Speech
I can't stand people from men. They're ruining everything.,Hate Speech
immigrants are the worst. Keep them out of here.,Hate Speech
I can't stand people from women. They're ruining everything.,Hate Speech
This is why nobody likes foreigners.,Hate Speech
I can't stand people from men. They're ruining everything.,Hate Speech
I can't stand people from immigrants. They're ruining everything.,Hate Speech
